+-------------------+-----------------------+-------------------------------------------------------------+------+--------------+-------+-------+-------------------+-------------+
| Name              | OutBy                 | URL                                                         | Runs | Balls Played | Fours | Sixes | Date of Birth     | Strike Rate |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Rohit Sharma (c)  | c Curran b Chawla     | https://www.espncricinfo.com/player/rohit-sharma-34102      | 12   | 10           | 2     | 0     | 30 April,1987     | 120.00      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Quinton de Kock † | c Watson b Curran     | https://www.espncricinfo.com/player/quinton-de-kock-379143  | 33   | 20           | 5     | 0     | 17 December,1992  | 165.00      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Suryakumar Yadav  | c Curran b Chahar     | https://www.espncricinfo.com/player/suryakumar-yadav-446507 | 17   | 16           | 2     | 0     | 14 September,1990 | 106.25      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Saurabh Tiwary    | c du Plessis b Jadeja | https://www.espncricinfo.com/player/saurabh-tiwary-35390    | 42   | 31           | 3     | 1     | 30 December,1989  | 135.48      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Hardik Pandya     | c du Plessis b Jadeja | https://www.espncricinfo.com/player/hardik-pandya-625371    | 14   | 10           | 0     | 2     | 11 October,1993   | 140.00      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Kieron Pollard    | c †Dhoni b Ngidi      | https://www.espncricinfo.com/player/kieron-pollard-230559   | 18   | 14           | 1     | 1     | 12 May,1987       | 128.57      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Krunal Pandya     | c †Dhoni b Ngidi      | https://www.espncricinfo.com/player/krunal-pandya-471342    | 3    | 3            | 0     | 0     | 24 March,1991     | 100.00      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| James Pattinson   | c du Plessis b Ngidi  | https://www.espncricinfo.com/player/james-pattinson-272465  | 11   | 8            | 2     | 0     | 03 May,1990       | 137.50      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Rahul Chahar      | not out               | https://www.espncricinfo.com/player/rahul-chahar-1064812    | 2    | 4            | 0     | 0     | 04 August,1999    | 50.00       |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Trent Boult       |  b Chahar             | https://www.espncricinfo.com/player/trent-boult-277912      | 0    | 1            | 0     | 0     | 22 July,1989      | 0.00        |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Jasprit Bumrah    | not out               | https://www.espncricinfo.com/player/jasprit-bumrah-625383   | 5    | 3            | 0     | 0     | 06 December,1993  | 166.66      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Murali Vijay      | lbw b Pattinson       | https://www.espncricinfo.com/player/murali-vijay-237095     | 1    | 7            | 0     | 0     | 01 April,1984     | 14.28       |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Shane Watson      | lbw b Boult           | https://www.espncricinfo.com/player/shane-watson-8180       | 4    | 5            | 1     | 0     | 17 June,1981      | 80.00       |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Faf du Plessis    | not out               | https://www.espncricinfo.com/player/faf-du-plessis-44828    | 58   | 44           | 6     | 0     | 13 July,1984      | 131.81      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Ambati Rayudu     | c & b Chahar          | https://www.espncricinfo.com/player/ambati-rayudu-33141     | 71   | 48           | 6     | 3     | 23 September,1985 | 147.91      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Ravindra Jadeja   | lbw b KH Pandya       | https://www.espncricinfo.com/player/ravindra-jadeja-234675  | 10   | 5            | 2     | 0     | 06 December,1988  | 200.00      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| Sam Curran        | c Pattinson b Bumrah  | https://www.espncricinfo.com/player/sam-curran-662973       | 18   | 6            | 1     | 2     | 03 June,1998      | 300.00      |
|-------------------|-----------------------|-------------------------------------------------------------|------|--------------|-------|-------|-------------------|-------------|
| MS Dhoni (c)†     | not out               | https://www.espncricinfo.com/player/ms-dhoni-28081          | 0    | 2            | 0     | 0     | 07 July,1981      | 0.00        |
+-------------------+-----------------------+-------------------------------------------------------------+------+--------------+-------+-------+-------------------+-------------+
